EXPLORE TRANSPORT INC,1/27/2016,1,Tractor Movement Report,01/01/2015 to 12/31/2015,Specific Tractor: 175,Tractor Id,Ship Date,Delivery Date,Trip Number,Driver 1Id,Miles,Origin,Destination,175,01/10/2015   3:00 pm,01/12/2015   8:00 am,47143,PHIL-MCNE,486.00,COSHOCTON, OH,ASTON, PA,       Grand Total:,104970.00
EXPLORE TRANSPORT INC,1/27/2016,1,Tractor Movement Report,01/01/2015 to 12/31/2015,Specific Tractor: 175,Tractor Id,Ship Date,Delivery Date,Trip Number,Driver 1Id,Miles,Origin,Destination,175,01/26/2015   3:00 pm,01/28/2015   8:00 am,47589,PHIL-MCNE,1074.00,RICHFIELD, OH,MEMPHIS, TN,       Grand Total:,104970.00
EXPLORE TRANSPORT INC,1/27/2016,1,Tractor Movement Report,01/01/2015 to 12/31/2015,Specific Tractor: 175,Tractor Id,Ship Date,Delivery Date,Trip Number,Driver 1Id,Miles,Origin,Destination,175,02/23/2015   3:00 pm,02/24/2015   8:00 am,48304,PHIL-MCNE,369.00,MISHAWAKA, IN,SAINT LOUIS, MO,       Grand Total:,104970.00
EXPLORE TRANSPORT INC,1/27/2016,1,Tractor Movement Report,01/01/2015 to 12/31/2015,Specific Tractor: 175,Tractor Id,Ship Date,Delivery Date,Trip Number,Driver 1Id,Miles,Origin,Destination,175,02/02/2015   3:00 pm,02/03/2015   8:00 am,47708,PHIL-MCNE,570.00,ROCK HILL, SC,DELRAN, NJ,       Grand Total:,104970.00
EXPLORE TRANSPORT INC,1/27/2016,1,Tractor Movement Report,01/01/2015 to 12/31/2015,Specific Tractor: 175,Tractor Id,Ship Date,Delivery Date,Trip Number,Driver 1Id,Miles,Origin,Destination,175,01/19/2015   3:00 pm,01/21/2015   8:00 am,47379,PHIL-MCNE,1473.00,FORT DODGE, IA,RAYMOND, NH,       Grand Total:,104970.00
EXPLORE TRANSPORT INC,1/27/2016,1,Tractor Movement Report,01/01/2015 to 12/31/2015,Specific Tractor: 175,Tractor Id,Ship Date,Delivery Date,Trip Number,Driver 1Id,Miles,Origin,Destination,175,02/10/2015   3:00 pm,02/12/2015   8:00 am,48011,PHIL-MCNE,1008.00,UNIVERSITY PARK, IL,BELLINGHAM, MA,       Grand Total:,104970.00
EXPLORE TRANSPORT INC,1/27/2016,1,Tractor Movement Report,01/01/2015 to 12/31/2015,Specific Tractor: 175,Tractor Id,Ship Date,Delivery Date,Trip Number,Driver 1Id,Miles,Origin,Destination,175,02/27/2015   3:00 pm,03/02/2015   8:00 am,48457,PHIL-MCNE,727.00,MEMPHIS, TN,MANITOWOC, WI,       Grand Total:,104970.00
EXPLORE TRANSPORT INC,1/27/2016,1,Tractor Movement Report,01/01/2015 to 12/31/2015,Specific Tractor: 175,Tractor Id,Ship Date,Delivery Date,Trip Number,Driver 1Id,Miles,Origin,Destination,175,02/01/2015   3:00 pm,02/02/2015   8:00 am,47705,PHIL-MCNE,256.00,AUGUSTA, GA,CHARLOTTE, NC,       Grand Total:,104970.00
EXPLORE TRANSPORT INC,1/27/2016,1,Tractor Movement Report,01/01/2015 to 12/31/2015,Specific Tractor: 175,Tractor Id,Ship Date,Delivery Date,Trip Number,Driver 1Id,Miles,Origin,Destination,175,02/12/2015   3:00 pm,02/13/2015   8:00 am,48023,PHIL-MCNE,681.00,AYER, MA,MEDINA, OH,       Grand Total:,104970.00
EXPLORE TRANSPORT INC,1/27/2016,1,Tractor Movement Report,01/01/2015 to 12/31/2015,Specific Tractor: 175,Tractor Id,Ship Date,Delivery Date,Trip Number,Driver 1Id,Miles,Origin,Destination,175,02/20/2015   3:00 pm,02/23/2015   8:00 am,48270,PHIL-MCNE,679.00,LANCASTER, PA,SOUTH BEND, IN,       Grand Total:,104970.00
