Time,Score
03/19/2015   8:00 am,"GREEN BAY, WI"
03/20/2015   8:00 am,"LANSING, MI"
03/24/2015   8:00 am,"BALTIMORE, MD"
03/25/2015   8:00 am,"SCOTIA, NY"
03/27/2015   8:00 am,"MCCOOK, IL"
05/01/2015   8:00 am,"WINDSOR, VA"
05/04/2015   8:00 am,"GRANITE CITY, IL"
05/05/2015   8:00 am,"SALINA, KS"
05/07/2015   8:00 am,"TRUSSVILLE, AL"
05/08/2015   8:00 am,"NORTON, OH"
05/13/2015  10:00 am,"COLUMBUS, OH"
05/15/2015   8:00 am,"TUCKER, GA"
05/18/2015   8:00 am,"MORRIS, IL"
05/19/2015   8:00 am,"OAKWOOD VILLAGE, OH"
05/20/2015   8:00 am,"BROOKLYN, NY"
05/21/2015   8:00 am,"TITUSVILLE, PA"
05/22/2015   8:00 am,"SUFFOLK, VA"
05/26/2015   8:00 am,"DAVENPORT, FL"
06/03/2015   8:00 am,"SALEM, VA"
06/04/2015   8:00 am,"ELIZABETH, NJ"
06/05/2015   8:00 am,"BISCOE, NC"
06/08/2015   8:00 am,"CAMILLUS, NY"
06/10/2015   8:00 am,"AUGUSTA, GA"
06/11/2015   8:00 am,"NASHVILLE, TN"
06/12/2015   8:00 am,"YORK, PA"
06/15/2015   8:00 am,"WAVERLY, IA"
06/16/2015   8:00 am,"BROWNSBURG, IN"
06/18/2015   8:00 am,"POTTSVILLE, PA"
06/19/2015   8:00 am,"SYRACUSE, NY"
06/22/2015   8:00 am,"WAVERLY, TN"
06/23/2015   8:00 am,"CHARLESTON, SC"
06/24/2015   8:00 am,"MOORE HAVEN, FL"
06/25/2015   8:00 am,"ARABI, GA"
06/26/2015   8:00 am,"EDENTON, NC"
06/29/2015   8:00 am,"CORDELE, GA"
06/30/2015   8:00 am,"ORLANDO, FL"
07/09/2015   8:00 am,"MONTGOMERY, AL"
07/21/2015   8:00 am,"LINWOOD, NC"
07/22/2015   8:00 am,"BLOOMFIELD, CT"
07/23/2015   8:00 am,"CHARLESTON, SC"
07/27/2015   8:00 am,"NOVI, MI"
07/28/2015   8:00 am,"ROANOKE, VA"
07/29/2015   8:00 am,"FLORENCE, KY"
07/30/2015   8:00 am,"KENNETT, MO"
08/03/2015   8:00 am,"EDGEWOOD, MD"
08/03/2015   1:05 am,"FREDERICK, MD"
08/04/2015   8:00 am,"E TAUNTON, MA"
08/05/2015   8:00 am,"GREENSBORO, NC"
08/07/2015   8:00 am,"SHEBOYGAN, WI"
08/10/2015   8:00 am,"HOUSTON, TX"
08/13/2015   8:00 am,"WELLFORD, SC"
08/16/2015   8:00 am,"ELK GROVE VILLAGE, IL"
08/19/2015   8:00 am,"ORLANDO, FL"
08/28/2015   8:00 am,"BIRMINGHAM, AL"
08/31/2015   8:00 am,"MILTON, DE"
09/01/2015   8:00 am,"INDIANAPOLIS, IN"
09/03/2015   8:00 am,"ZEBULON, NC"
09/05/2015   5:00 pm,"WILLIAMSBURG, VA"
09/08/2015   8:00 am,"LASALLE, PQ"
09/10/2015   8:00 am,"GARNER, NC"
09/12/2015   8:00 am,"HILLSIDE, NJ"
09/14/2015   8:00 am,"LITHIA SPRINGS, GA"
