Truck,Ship_Date,Delivery_Date,Trip_Num,Driver,Mileage,Origin,Destination
175,06/01/2015   3:00 pm,06/03/2015   8:00 am,51512,WILL-ANDE,791,"AUBURNDALE, FL","SALEM, VA"
175,06/02/2015   3:00 pm,06/04/2015   8:00 am,51597,WILL-ANDE,478,"CLIFTON FORGE, VA","ELIZABETH, NJ"
175,06/04/2015   3:00 pm,06/05/2015   8:00 am,51617,WILL-ANDE,645,"WALDWICK, NJ","BISCOE, NC"
175,06/05/2015   3:00 pm,06/08/2015   8:00 am,51672,WILL-ANDE,810,"MOORESVILLE, NC","CAMILLUS, NY"
175,06/08/2015   3:00 pm,06/10/2015   8:00 am,51761,WILL-ANDE,968,"ROCHESTER, NY","AUGUSTA, GA"
175,06/10/2015   3:00 pm,06/11/2015   8:00 am,51807,WILL-ANDE,410,"AUGUSTA, GA","NASHVILLE, TN"
175,06/11/2015   3:00 pm,06/12/2015   8:00 am,51856,WILL-ANDE,763,"SMYRNA, TN","YORK, PA"
175,06/12/2015   3:00 pm,06/15/2015   8:00 am,51890,WILL-ANDE,1026,"MANHEIM, PA","WAVERLY, IA"
175,06/15/2015   3:00 pm,06/16/2015   8:00 am,51938,WILL-ANDE,459,"CEDAR RAPIDS, IA","BROWNSBURG, IN"
175,06/17/2015   3:00 pm,06/18/2015   8:00 am,52025,WILL-ANDE,635,"PLAINFIELD, IN","POTTSVILLE, PA"
175,06/18/2015   3:00 pm,06/19/2015   8:00 am,52082,WILL-ANDE,353,"HOWARD, PA","SYRACUSE, NY"
175,06/19/2015   3:00 pm,06/22/2015   8:00 am,52126,WILL-ANDE,954,"OSWEGO, NY","WAVERLY, TN"
175,06/22/2015   3:00 pm,06/23/2015   8:00 am,52231,WILL-ANDE,621,"MADISON, TN","CHARLESTON, SC"
175,06/23/2015   3:00 pm,06/24/2015   8:00 am,52257,WILL-ANDE,551,"SUMMERVILLE, SC","MOORE HAVEN, FL"
175,06/24/2015   3:00 pm,06/25/2015   8:00 am,52332,WILL-ANDE,431,"LAKELAND, FL","ARABI, GA"
175,06/25/2015   3:00 pm,06/26/2015   8:00 am,52333,WILL-ANDE,628,"ASHBURN, GA","EDENTON, NC"
175,06/27/2015   3:00 pm,06/29/2015   8:00 am,52335,WILL-ANDE,598,"BENSON, NC","CORDELE, GA"
175,06/29/2015   3:00 pm,06/30/2015   8:00 am,52434,WILL-ANDE,336,"FITZGERALD, GA","ORLANDO, FL"
175,07/08/2015   3:00 pm,07/09/2015   8:00 am,52641,WILL-ANDE,527,"JACKSONVILLE, FL","MONTGOMERY, AL"
175,07/20/2015   3:00 pm,07/21/2015   8:00 am,52886,WILL-ANDE,727,"VALDOSTA, GA","LINWOOD, NC"
175,07/21/2015   3:00 pm,07/22/2015   8:00 am,52949,WILL-ANDE,712,"LEXINGTON, NC","BLOOMFIELD, CT"
175,07/22/2015   3:00 pm,07/23/2015   8:00 am,52958,WILL-ANDE,899,"ELIZABETH, NJ","CHARLESTON, SC"
175,07/24/2015   3:00 pm,07/27/2015   8:00 am,53050,WILL-ANDE,891,"CHARLESTON, SC","NOVI, MI"
175,07/27/2015   3:00 pm,07/28/2015   8:00 am,53065,WILL-ANDE,582,"WYANDOTTE, MI","ROANOKE, VA"
175,07/28/2015   3:00 pm,07/29/2015   8:00 am,53133,WILL-ANDE,441,"CLIFTON FORGE, VA","FLORENCE, KY"
175,07/29/2015   3:00 pm,07/30/2015   8:00 am,53134,WILL-ANDE,443,"LOUISVILLE, KY","KENNETT, MO"
175,07/31/2015   3:00 pm,08/03/2015   8:00 am,53193,WILL-ANDE,1175,"WEST PLAINS, MO","EDGEWOOD, MD"
175,08/03/2015   1:00 am,08/03/2015   1:05 am,53203,WILL-ANDE,76,"FREDERICK, MD","FREDERICK, MD"
175,08/03/2015   3:00 pm,08/04/2015   8:00 am,53217,WILL-ANDE,553,"HAGERSTOWN, MD","E TAUNTON, MA"
175,08/04/2015   3:00 pm,08/05/2015   8:00 am,53272,WILL-ANDE,782,"MILFORD, MA","GREENSBORO, NC"
175,08/05/2015   3:00 pm,08/07/2015   8:00 am,53348,WILL-ANDE,929,"RIDGEWAY, VA","SHEBOYGAN, WI"
175,08/07/2015   3:00 pm,08/10/2015   8:00 am,53387,WILL-ANDE,1434,"APPLETON, WI","HOUSTON, TX"
175,08/11/2015   3:00 pm,08/13/2015   8:00 am,53532,WILL-ANDE,971,"PASADENA, TX","WELLFORD, SC"
175,08/15/2015   3:00 pm,08/16/2015   8:00 am,53638,WILL-ANDE,934,"ATLANTA, GA","ELK GROVE VILLAGE, IL"
175,08/17/2015   3:00 pm,08/19/2015   8:00 am,53639,WILL-ANDE,1298,"KENOSHA, WI","ORLANDO, FL"
175,08/27/2015   3:00 pm,08/28/2015   8:00 am,53909,WILL-ANDE,648,"DAVENPORT, FL","BIRMINGHAM, AL"
175,08/28/2015   3:00 pm,08/31/2015   8:00 am,53948,WILL-ANDE,904,"CULLMAN, AL","MILTON, DE"
175,08/31/2015   3:00 pm,09/01/2015   8:00 am,53975,WILL-ANDE,748,"SELBYVILLE, DE","INDIANAPOLIS, IN"
175,09/02/2015   3:00 pm,09/03/2015   8:00 am,54038,WILL-ANDE,700,"ALEXANDRIA, IN","ZEBULON, NC"
175,09/05/2015   3:00 pm,09/05/2015   5:00 pm,54063,WILL-ANDE,209,"WILSON, NC","WILLIAMSBURG, VA"
175,09/06/2015   3:00 pm,09/08/2015   8:00 am,54072,WILL-ANDE,1172,"WINSTON SALEM, NC","LASALLE, PQ"
175,09/09/2015   3:00 pm,09/10/2015   8:00 am,54128,WILL-ANDE,881,"PLATTSBURGH, NY","GARNER, NC"
175,09/10/2015   3:00 pm,09/12/2015   8:00 am,54158,WILL-ANDE,673,"WINSTON SALEM, NC","HILLSIDE, NJ"
175,09/13/2015   3:00 pm,09/14/2015   8:00 am,54194,WILL-ANDE,933,"NEW YORK, NY","LITHIA SPRINGS, GA"
175,08/17/2015   3:00 pm,08/19/2015   8:00 am,53639,WILL-ANDE,1298,"KENOSHA, WI","ORLANDO, FL"
175,08/27/2015   3:00 pm,08/28/2015   8:00 am,53909,WILL-ANDE,648,"DAVENPORT, FL","BIRMINGHAM, AL"
175,08/28/2015   3:00 pm,08/31/2015   8:00 am,53948,WILL-ANDE,904,"CULLMAN, AL","MILTON, DE"
175,08/31/2015   3:00 pm,09/01/2015   8:00 am,53975,WILL-ANDE,748,"SELBYVILLE, DE","INDIANAPOLIS, IN"
175,09/02/2015   3:00 pm,09/03/2015   8:00 am,54038,WILL-ANDE,700,"ALEXANDRIA, IN","ZEBULON, NC"
175,09/05/2015   3:00 pm,09/05/2015   5:00 pm,54063,WILL-ANDE,209,"WILSON, NC","WILLIAMSBURG, VA"
175,09/06/2015   3:00 pm,09/08/2015   8:00 am,54072,WILL-ANDE,1172,"WINSTON SALEM, NC","LASALLE, PQ"
175,09/09/2015   3:00 pm,09/10/2015   8:00 am,54128,WILL-ANDE,881,"PLATTSBURGH, NY","GARNER, NC"
175,09/10/2015   3:00 pm,09/12/2015   8:00 am,54158,WILL-ANDE,673,"WINSTON SALEM, NC","HILLSIDE, NJ"
175,09/13/2015   3:00 pm,09/14/2015   8:00 am,54194,WILL-ANDE,933,"NEW YORK, NY","LITHIA SPRINGS, GA"
