EXPLORE TRANSPORT INC,175,WILL-ANDE,05/14/2015,05/15/2015,50996,621.00,MARYSVILLE, OH,TUCKER, GA
EXPLORE TRANSPORT INC,175,WILL-ANDE,05/15/2015,05/18/2015,51046,776.00,CONYERS, GA,MORRIS, IL
EXPLORE TRANSPORT INC,175,WILL-ANDE,05/18/2015,05/19/2015,51104,430.00,OTTAWA, IL,OAKWOOD VILLAGE, OH
EXPLORE TRANSPORT INC,175,WILL-ANDE,05/19/2015,05/20/2015,51147,1103.00,BEDFORD, OH,BROOKLYN, NY
EXPLORE TRANSPORT INC,175,WILL-ANDE,05/20/2015,05/21/2015,51198,576.00,NEWARK, NJ,TITUSVILLE, PA
EXPLORE TRANSPORT INC,175,WILL-ANDE,05/21/2015,05/22/2015,51245,654.00,ASHTABULA, OH,SUFFOLK, VA
EXPLORE TRANSPORT INC,175,WILL-ANDE,05/22/2015,05/26/2015,51287,858.00,NEW BERN, NC,DAVENPORT, FL
EXPLORE TRANSPORT INC,175,WILL-ANDE,06/01/2015,06/03/2015,51512,791.00,AUBURNDALE, FL,SALEM, VA
EXPLORE TRANSPORT INC,175,WILL-ANDE,06/02/2015,06/04/2015,51597,478.00,CLIFTON FORGE, VA,ELIZABETH, NJ
EXPLORE TRANSPORT INC,175,WILL-ANDE,06/04/2015,06/05/2015,51617,645.00,WALDWICK, NJ,BISCOE, NC
EXPLORE TRANSPORT INC,175,WILL-ANDE,06/05/2015,06/08/2015,51672,810.00,MOORESVILLE, NC,CAMILLUS, NY
EXPLORE TRANSPORT INC,175,WILL-ANDE,06/08/2015,06/10/2015,51761,968.00,ROCHESTER, NY,AUGUSTA, GA
EXPLORE TRANSPORT INC,175,WILL-ANDE,06/10/2015,06/11/2015,51807,410.00,AUGUSTA, GA,NASHVILLE, TN
EXPLORE TRANSPORT INC,175,WILL-ANDE,06/11/2015,06/12/2015,51856,763.00,SMYRNA, TN,YORK, PA
EXPLORE TRANSPORT INC,175,WILL-ANDE,06/12/2015,06/15/2015,51890,1026.00,MANHEIM, PA,WAVERLY, IA
