EXPLORE TRANSPORT INC,1/27/2016,1,Tractor Movement Report,01/01/2015 to 12/31/2015,Specific Tractor: 175,Tractor Id,Ship Date,Delivery Date,Trip Number,Driver 1Id,Miles,Origin,Destination,175,02/03/2015   3:00 pm,02/05/2015   8:00 am,47785,PHIL-MCNE,879,"ELIZABETH, NJ","NORTH AURORA, IL",       Grand Total:,104970
EXPLORE TRANSPORT INC,1/27/2016,1,Tractor Movement Report,01/01/2015 to 12/31/2015,Specific Tractor: 175,Tractor Id,Ship Date,Delivery Date,Trip Number,Driver 1Id,Miles,Origin,Destination,175,02/10/2015   3:00 pm,02/12/2015   8:00 am,48011,PHIL-MCNE,1008,"UNIVERSITY PARK, IL","BELLINGHAM, MA",       Grand Total:,104970
EXPLORE TRANSPORT INC,1/27/2016,1,Tractor Movement Report,01/01/2015 to 12/31/2015,Specific Tractor: 175,Tractor Id,Ship Date,Delivery Date,Trip Number,Driver 1Id,Miles,Origin,Destination,175,02/12/2015   3:00 pm,02/13/2015   8:00 am,48023,PHIL-MCNE,681,"AYER, MA","MEDINA, OH",       Grand Total:,104970
EXPLORE TRANSPORT INC,1/27/2016,1,Tractor Movement Report,01/01/2015 to 12/31/2015,Specific Tractor: 175,Tractor Id,Ship Date,Delivery Date,Trip Number,Driver 1Id,Miles,Origin,Destination,175,02/13/2015   3:00 pm,02/16/2015   8:00 am,48059,PHIL-MCNE,1013,"EVANS CITY, PA","MAPLE LAKE, MN",       Grand Total:,104970
EXPLORE TRANSPORT INC,1/27/2016,1,Tractor Movement Report,01/01/2015 to 12/31/2015,Specific Tractor: 175,Tractor Id,Ship Date,Delivery Date,Trip Number,Driver 1Id,Miles,Origin,Destination,175,02/16/2015   3:00 pm,02/18/2015   8:00 am,48140,PHIL-MCNE,452,"EAGAN, MN","CHICAGO, IL",       Grand Total:,104970
EXPLORE TRANSPORT INC,1/27/2016,1,Tractor Movement Report,01/01/2015 to 12/31/2015,Specific Tractor: 175,Tractor Id,Ship Date,Delivery Date,Trip Number,Driver 1Id,Miles,Origin,Destination,175,02/18/2015   3:00 pm,02/20/2015   8:00 am,48211,PHIL-MCNE,730,"WEST CHICAGO, IL","HAZLETON, PA",       Grand Total:,104970
EXPLORE TRANSPORT INC,1/27/2016,1,Tractor Movement Report,01/01/2015 to 12/31/2015,Specific Tractor: 175,Tractor Id,Ship Date,Delivery Date,Trip Number,Driver 1Id,Miles,Origin,Destination,175,02/20/2015   3:00 pm,02/23/2015   8:00 am,48270,PHIL-MCNE,679,"LANCASTER, PA","SOUTH BEND, IN",       Grand Total:,104970
EXPLORE TRANSPORT INC,1/27/2016,1,Tractor Movement Report,01/01/2015 to 12/31/2015,Specific Tractor: 175,Tractor Id,Ship Date,Delivery Date,Trip Number,Driver 1Id,Miles,Origin,Destination,175,02/23/2015   3:00 pm,02/24/2015   8:00 am,48304,PHIL-MCNE,369,"MISHAWAKA, IN","SAINT LOUIS, MO",       Grand Total:,104970
EXPLORE TRANSPORT INC,1/27/2016,1,Tractor Movement Report,01/01/2015 to 12/31/2015,Specific Tractor: 175,Tractor Id,Ship Date,Delivery Date,Trip Number,Driver 1Id,Miles,Origin,Destination,175,02/26/2015   3:00 pm,02/27/2015   8:00 am,48411,PHIL-MCNE,692,"DWIGHT, IL","MEMPHIS, TN",       Grand Total:,104970
EXPLORE TRANSPORT INC,1/27/2016,1,Tractor Movement Report,01/01/2015 to 12/31/2015,Specific Tractor: 175,Tractor Id,Ship Date,Delivery Date,Trip Number,Driver 1Id,Miles,Origin,Destination,175,02/27/2015   3:00 pm,03/02/2015   8:00 am,48457,PHIL-MCNE,727,"MEMPHIS, TN","MANITOWOC, WI",       Grand Total:,104970
